[2026-04-02T10:05:27.324Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-2M6V79H761&gtm=45je63v0v9218448198za200zd9218448198&_p=1775124322082&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=988378010.1775122598&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=14.3.1&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=1&tag_exp=0~115938465~115938468~116991816&sid=1775122598&sct=1&seg=1&dl=http%3A%2F%2Flocalhost%2Frevenue-infrastruc-43.html&dt=Tibexa%20Global%20%7C%20B2B%20%C4%B0hracat%20Altyap%C4%B1s%C4%B1&en=page_view&_ee=1&tfd=5392 → 204 (114ms, ?B)
[2026-04-02T10:05:38.450Z] GET http://localhost:8765/case-rapidlanyard.html → 200 (2ms, 11095B)
[2026-04-02T10:05:38.456Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-2M6V79H761&gtm=45je63v0v9218448198za200zd9218448198&_p=1775124322082&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=988378010.1775122598&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=14.3.1&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=2&tag_exp=0~115938465~115938468~116991816&sid=1775122598&sct=1&seg=1&dl=http%3A%2F%2Flocalhost%2Frevenue-infrastruc-43.html&dt=Tibexa%20Global%20%7C%20B2B%20%C4%B0hracat%20Altyap%C4%B1s%C4%B1&en=user_engagement&_et=16131&tfd=16524 → pending (?ms, ?B)
[2026-04-02T10:05:38.458Z] GET https://fonts.googleapis.com/css2?family=Red+Hat+Display:wght@400;500;600;700&display=swap → 200 (?ms, 3592B)
[2026-04-02T10:05:38.458Z] GET https://cdn.jsdelivr.net/npm/@fontsource/geist-sans@5.0.1/index.min.css → 200 (?ms, 554B)
[2026-04-02T10:05:38.459Z] GET https://cdn.jsdelivr.net/npm/@fontsource/geist-mono@5.0.1/index.min.css → 200 (?ms, 554B)
[2026-04-02T10:05:38.459Z] GET https://code.iconify.design/iconify-icon/1.0.7/iconify-icon.min.js → 200 (?ms, 22003B)
[2026-04-02T10:05:38.459Z] GET https://unpkg.com/lucide@latest → 200 (?ms, 397410B)
[2026-04-02T10:05:38.459Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, 407279B)
[2026-04-02T10:05:38.460Z] GET http://localhost:8765/TibexaLogo/tibexa-global/WhiteLogo_cropped.png → 200 (?ms, 54027B)
